Name,Unit,ID,Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China: Zhejiang: Revenue of Local Government Funds: Total,CNY 10k,M0159363,Zhejiang Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"25,831,696.00 ","44,406,400.00 ","42,720,200.00 ","25,749,200.00 ","39,300,600.00 ","65,930,000.00 ","87,365,600.00 ","106,078,200.00 ","113,533,536.00 ","116,472,806.00 ","100,689,728.00 "
China: Shandong: Revenue of Local Government Funds: Total,CNY 10k,M0065619,Shandong Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"29,707,000.00 ","27,970,610.00 ","36,067,846.00 ","39,736,557.00 ","29,800,350.00 ","29,623,947.00 ","37,691,557.00 ","60,006,167.00 ","67,427,075.00 ","72,789,907.00 ","79,769,368.00 ","60,804,071.00 "
China: Yunnan: Revenue of Local Government Funds: Total,CNY 10k,M0065699,Yunnan Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,842,705.00 ","9,363,966.00 ","7,117,387.00 ","4,021,747.00 ","4,318,979.00 ","7,318,971.00 ","12,873,030.00 ","15,906,455.00 ","15,584,628.00 ","10,139,953.00 ","6,208,153.00 "
China: Liaoning: Revenue of Local Government Funds: Total,CNY 10k,M0159200,Liaoning Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"20,595,000.00 ","24,098,000.00 ","15,817,000.00 ","9,092,652.00 ","7,232,255.00 ","7,120,240.00 ","9,341,268.00 ","12,415,388.00 ","13,514,000.00 ","11,852,422.00 ","5,244,000.00 "
China: Gansu: Revenue of Local Government Funds: Total,CNY 10k,M0160194,Gansu Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,864,486.00 ","1,919,200.00 ","3,749,133.00 ","3,595,057.00 ","3,529,560.00 ","4,109,982.00 ","4,135,104.00 ","3,993,318.00 ","5,208,237.00 ","6,503,919.00 ","5,956,620.00 ",0.00 
(DC) China: Anhui: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159418,Anhui Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"271,534.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Zhejiang: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159365,Zhejiang Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"358,234.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Heilongjiang: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159267,Heilongjiang Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"129,269.00 ",0.00 ,"131,321.00 ","107,766.00 ","76,323.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Shandong: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0065620,Shandong Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"428,769.00 ","378,713.00 ","278,302.00 ","390,229.00 ","217,855.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Qinghai: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0160296,Qinghai Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"57,543.00 ","38,832.00 ","37,311.00 ","18,253.00 ","24,945.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Guangdong: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159730,Guangdong Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"502,835.00 ","620,777.00 ","600,569.00 ","526,923.00 ","762,663.00 ","567,064.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Henan: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159597,Henan Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"359,206.00 ","442,259.00 ","280,047.00 ",0.00 ,"203,170.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Hebei: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159072,Hebei Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"279,343.00 ","223,494.00 ","214,581.00 ","176,684.00 ","185,348.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
China: Tianjin: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0065490,Tianjin Municipal Bureau of Statistics,0.00 ,0.00 ,0.00 ,"262,811.00 ","239,449.00 ","145,532.00 ","158,100.00 ","142,860.00 ","56,963.00 ","45,264.00 ","37,049.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Gansu: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0160200,Gansu Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"85,125.00 ","74,840.00 ","109,184.00 ","67,761.00 ","91,918.00 ","80,729.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Hainan: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159909,Hainan Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"68,706.00 ","67,432.00 ","29,930.00 ","39,715.00 ","26,842.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Jilin: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159214,Jilin Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"147,500.00 ",0.00 ,"109,600.00 ","98,700.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
China: Yunnan: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0160073,Yunnan Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"139,336.00 ","107,921.00 ","89,429.00 ","107,516.00 ","85,221.00 ",0.00 ,0.00 ,"24,737.00 ","-20,420.00 ",0.00 ,0.00 
(DC) China: Guangxi: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159813,Guangxi Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"195,182.00 ","195,889.00 ","165,145.00 ","228,953.00 ","203,493.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Shaanxi: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0160170,Shaanxi Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"274,162.00 ","221,603.00 ","198,203.00 ","202,303.00 ","126,095.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Jiangsu: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0159338,Jiangsu Provincial Department of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"379,701.00 ","503,746.00 ","399,420.00 ","291,855.00 ","342,149.00 ","324,559.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(DC) China: Jiangxi: Revenue of Local Government Funds: Compensable Payment for Newly Used Land,CNY 10k,M0065601,Jiangxi Provincial Bureau of Statistics,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"192,000.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
China: Tibet: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M6094804,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.20 ,74.20 ,93.20 ,120.20 ,121.57 ,0.00 ,0.00 
China: Chongqing: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543400,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,064.50 ","1,048.00 ","1,351.70 ","1,805.90 ","2,203.00 ","2,317.60 ","2,864.00 ","3,175.00 "
China: Hebei: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M6095033,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,417.90 ,0.00 ,0.00 ,751.71 ,827.68 ,888.68 ,"1,008.68 ",0.00 
China: Fujian: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M6094827,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,105.28 ,118.37 ,126.20 ,154.24 ,199.60 ,229.17 ,270.48 
China: Henan: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M6094702,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,534.90 ,863.70 ,"1,013.90 ","1,166.20 ","1,490.29 ","1,607.54 ","1,797.56 ","1,951.36 "
China: Xinjiang: Region Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543404,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,708.90 ,788.90 ,0.00 ,0.00 ,0.00 ,"2,126.62 ",0.00 ,0.00 
China: Liaoning: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M6094679,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,375.00 ,486.03 ,436.15 ,413.21 ,493.70 ,876.22 ,866.91 
China: Shanghai: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543383,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,932.10 ","1,932.10 ","1,942.10 ","2,012.10 ","2,259.40 ","2,964.90 ","3,321.70 ","3,639.30 "
China: Yunnan: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543435,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,205.60 ","1,331.60 ","1,820.10 ","2,065.14 ",0.00 ,0.00 ,"2,865.18 ",0.00 
China: Jiangsu: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M6094900,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,662.70 ,559.30 ,664.00 ,752.78 ,863.58 ,"1,014.49 ","1,078.67 ","1,163.37 "
China: Ningxia: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M6094964,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,249.00 ,406.21 ,471.40 ,541.66 ,541.66 ,0.00 
China: Heilongjiang: Provincial Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543388,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,457.00 ,0.00 ,0.00 ,565.32 ,608.71 ,586.25 ,832.73 ,"1,239.28 "
China: Hainan: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M6094819,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,340.75 ,433.91 ,532.06 ,650.14 ,843.42 ,"1,009.88 ","1,367.90 "
China: Gansu: Provincial Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543432,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,488.00 ,0.00 ,0.00 ,0.00 ,"1,014.70 ","1,341.20 ",0.00 ,0.00 
China: Shanxi: Provincial Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543374,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,323.50 ,0.00 ,511.38 ,571.88 ,690.66 ,"1,131.26 ","1,373.94 ",0.00 
China: Sichuan: Provincial Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543391,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,535.00 ,503.10 ,543.90 ,691.00 ,857.00 ,"1,105.00 ","1,226.90 ","1,585.10 "
China: Shandong: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543412,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,438.80 ,588.80 ,753.50 ,938.50 ,"1,149.00 ","1,503.70 ","1,613.85 ","1,852.91 "
China: Zhejiang: Same Level: Statutory Limits on Local Government Debt,CNY 100mn,M6095048,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,171.50 ,277.00 ,370.23 ,574.73 ,"1,057.84 ","1,190.24 ",456.92 
China: Tianjin: City Level: Statutory Limits on Local Government Debt,CNY 100mn,X7735854,Tianjin People's Government,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,137.90 ","2,377.50 ","2,474.21 "
China: Beijing: City Level: Statutory Limits on Local Government Debt,CNY 100mn,K5945473,Beijing People's Government,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,693.71 ","3,939.24 ","3,769.24 ","4,268.35 ","4,557.48 ","3,214.74 "
China: Jilin: Provincial Level: Statutory Limits on Local Government Debt,CNY 100mn,M5543420,Ministry of Finance,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,569.44 ,0.00 ,0.00 ,0.00 ,0.00 ,872.21 ,939.40 ,0.00 
