Province,Region,Statistical_Division_Code,Province.Code
Guangxi,Yulin,450900,450000
Guangxi,Baise,451000,450000
Guangxi,Hezhou,451100,450000
Guangxi,Hechi,451200,450000
Guangxi,Laibin,451300,450000
Guangxi,Chongzuo,451400,450000
Hainan,NA,      460000,460000
Hainan,Haikou,460100,460000
Hainan,Sanya,460200,460000
Hainan,Sansha,460300,460000
Hainan,Danzhou,460400,460000
Hainan,Provincial-level administrative divisions,469000,460000
Hainan,Wuzhishan,469001,460000
Hainan,Qionghai,469002,460000
Hainan,Wenchang,469005,460000
Hainan,Wanning,469006,460000
Hainan,Dongfang,469007,460000
Hainan,Ding'an,469021,460000
Hainan,Tunchang,469022,460000
Hainan,Chengmai,469023,460000
Hainan,Lingao,469024,460000
Hainan,Baisha Li,469025,460000
Hainan,Changjiang Li,469026,460000
Hainan,Ledong Li,469027,460000
Hainan,Lingshui Li,469028,460000
Hainan,Baoting,469029,460000
Hainan,Qiongzhong,469030,460000
Chongqing,NA,      500000,500000
Chongqing,Wanzhou,500101,500000
Chongqing,Fuling,500102,500000
Chongqing,Yuzhong,500103,500000
Chongqing,Dadukou,500104,500000
Chongqing,Jiangbei,500105,500000
Chongqing,Shapingba,500106,500000
Chongqing,Jiulongpo,500107,500000
Chongqing,South Bank,500108,500000
Chongqing,Beibei,500109,500000
Chongqing,Qijiang,500110,500000
Chongqing,Dazu,500111,500000
Chongqing,Yu Bei,500112,500000
Chongqing,Banan,500113,500000
Chongqing,Qianjiang,500114,500000
Chongqing,Changshou,500115,500000
Chongqing,Jiangjin,500116,500000
Chongqing,Hechuan,500117,500000
Chongqing,Yongchuan,500118,500000
Chongqing,Nanchuan,500119,500000
Chongqing,Bishan,500120,500000
Chongqing,Tongliang,500151,500000
Chongqing,Tongnan,500152,500000
Chongqing,Rongchang,500153,500000
Chongqing,Kaizhou,500154,500000
Chongqing,Liangping,500155,500000
Chongqing,Wulong,500156,500000
Chongqing,County,500200,500000
Chongqing,Chengkou,500229,500000
Chongqing,Fengdu,500230,500000
Chongqing,Dianjiang,500231,500000
Chongqing,Zhong,500233,500000
Chongqing,Yunyang,500235,500000
Chongqing,Fengjie,500236,500000
Chongqing,Wushan,500237,500000
Chongqing,Wuxi,500238,500000
Chongqing,Shizhu,500240,500000
Chongqing,Xiushan,500241,500000
Chongqing,Youyang,500242,500000
Chongqing,Pengshui Miao,500243,500000
Sichuan,NA,      510000,510000
Sichuan,Chengdu,510100,510000
Sichuan,Zigong,510300,510000
Sichuan,Panzhihua,510400,510000
Sichuan,Luzhou,510500,510000
Sichuan,Deyang,510600,510000
Sichuan,Mianyang,510700,510000
Sichuan,Guangyuan,510800,510000
Sichuan,Suining,510900,510000
Sichuan,Neijiang,511000,510000
Sichuan,Leshan,511100,510000
Sichuan,Nanchong,511300,510000
Sichuan,Meishan,511400,510000
Sichuan,Yibin,511500,510000
Sichuan,Guang'an,511600,510000
Sichuan,Dazhou,511700,510000
Sichuan,Ya'an,511800,510000
Sichuan,Bazhong,511900,510000
Sichuan,Ziyang,512000,510000
Sichuan,Aba,513200,510000
Sichuan,Ganzi,513300,510000
Sichuan,Liangshan,513400,510000
Guizhou,NA,      520000,520000
Guizhou,Guiyang,520100,520000
Guizhou,Liupanshui,520200,520000
Guizhou,Zunyi,520300,520000
Guizhou,Anshun,520400,520000
Guizhou,Bijie,520500,520000
Guizhou,Tongren,520600,520000
Guizhou,Qianxinan Buyi Miao,522300,520000
Guizhou,Qiandongnan,522600,520000
Guizhou,Qiannan Buyi Miao,522700,520000
Yunnan,NA,      530000,530000
Yunnan,Kunming,530100,530000
Yunnan,Qujing,530300,530000
Yunnan,Yuxi,530400,530000
Yunnan,Baoshan,530500,530000
Yunnan,Zhaotong,530600,530000
Yunnan,Lijiang,530700,530000
Yunnan,Pu'er,530800,530000
Yunnan,Lincang,530900,530000
Yunnan,Chuxiong,532300,530000
Yunnan,Honghe,532500,530000
Yunnan,Wenshan,532600,530000
Yunnan,Xishuangbanna,532800,530000
Yunnan,Dali,532900,530000
Yunnan,Dehong,533100,530000
Yunnan,Nujiang Lisu,533300,530000
Yunnan,Diqing,533400,530000
Tibet,NA,      540000,540000
Tibet,Lhasa,540100,540000
Tibet,Shigatse,540200,540000
Tibet,Qamdo,540300,540000
Tibet,Nyingchi,540400,540000
Tibet,Shannan,540500,540000
Tibet,Nagqu,540600,540000
Tibet,Ngari,542500,540000
Shaanxi,NA,      610000,610000
Shaanxi,Xi'an,610100,610000
Shaanxi,Tongchuan,610200,610000
Shaanxi,Baoji,610300,610000
Shaanxi,Xianyang,610400,610000
Shaanxi,Weinan,610500,610000
Shaanxi,Yan'an,610600,610000
Shaanxi,Hanzhong,610700,610000
Shaanxi,Yulin,610800,610000
Shaanxi,Ankang,610900,610000
Shaanxi,Shangluo,611000,610000
Gansu,NA,      620000,620000
Gansu,Lan'Zhou,620100,620000
Gansu,Jiayuguan,620200,620000
Gansu,Jinchang,620300,620000
Gansu,Baiyin,620400,620000
Gansu,Tianshui,620500,620000
Gansu,Wuwei,620600,620000
Gansu,Zhangye,620700,620000
Gansu,Pingliang,620800,620000
Gansu,Jiuquan,620900,620000
Gansu,Qingyang,621000,620000
Gansu,Dingxi,621100,620000
Gansu,Longnan,621200,620000
Gansu,Linxia,622900,620000
Gansu,Gannan,623000,620000
Qinghai,NA,      630000,630000
Qinghai,Xining,630100,630000
Qinghai,Haidong,630200,630000
Qinghai,Haibei,632200,630000
Qinghai,Huangnan,632300,630000
Qinghai,Hainan,632500,630000
Qinghai,Golog,632600,630000
Qinghai,Yushu,632700,630000
Qinghai,Haixi,632800,630000
Ningxia,NA,      640000,640000
Ningxia,Yinchuan,640100,640000
Ningxia,Yinchuan,640100,640000
Ningxia,Shizuishan,640200,640000
Ningxia,Wuzhong,640300,640000
Ningxia,Guyuan,640400,640000
Ningxia,Zhongwei,640500,640000
Xinjiang,NA,      650000,650000
Xinjiang,Urumqi,650100,650000
Xinjiang,Karamay,650200,650000
Xinjiang,Turpan,650400,650000
Xinjiang,Hami,650500,650000
Xinjiang,Changji,652300,650000
Xinjiang,Bortala,652700,650000
Xinjiang,Bayingolin,652800,650000
Xinjiang,Aksu,652900,650000
Xinjiang,Kizilsu Kirgiz,653000,650000
Xinjiang,Kashgar,653100,650000
Xinjiang,Hotan,653200,650000
Xinjiang,Ili Kazakh,654000,650000
Xinjiang,Tacheng,654200,650000
Xinjiang,Altay,654300,650000
Xinjiang,County-level administrative divisions directly under the,659000,650000
Xinjiang,Shihezi,659001,650000
Xinjiang,Aral,659002,650000
Xinjiang,Tumusuk,659003,650000
Xinjiang,Wujiaqu,659004,650000
Xinjiang,Beitun,659005,650000
Xinjiang,Tiemenguan,659006,650000
Xinjiang,Shuanghe,659007,650000
Xinjiang,Kokkhara,659008,650000
Xinjiang,Kunyu,659009,650000
Xinjiang,Huyanghe,659010,650000
Xinjiang,Nova,659011,650000
Source: http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/index.html,NA,          NA,NA
Heilongjiang,Da Hinggan Ling,232700,230000
Yunnan,Deqen,533400,530000
Sichuan,Garze,513300,510000
Tianjin,Hedong,120102,120000
Inner Mongolia,Hinggan,152200,150000
Henan,Jiyuan,419001,410000
Xinjiang,Kashi,653100,650000
Xinjiang,Kekedala,659008,650000
Gansu,Lanzhou,620100,620000
Hainan,Ledong,469027,460000
Hainan,Lingshui,469028,460000
Guizhou,Lupanshui,520200,520000
Shanxi,Lüliang,141100,140000
Fujian,Nan'an,500108,350000
Chongqing,Nanning,450100,500000
Inner Mongolia,Neimenggu,150000,150000
Yunnan,Nujiang,533300,530000
Chongqing,Pengshui,500243,500000
Guizhou,Qiannan,522700,520000
Guizhou,Qianxinan,522300,520000
Guangdong,Shantou,440500,440000
Hubei,Shennongjia,429021,420000
Hubei,Tianmen,429006,420000
Xinjiang,Tumxuk,659003,650000
Inner Mongolia,Ulanqab,150900,150000
Hubei,Xiantao,429004,420000
Xinjiang,Xinxing,659011,650000
Chongqing,Yubei,500112,500000
Source: 中华人民共和国县以上行政区划代码 (in Simplified Chinese). Ministry of Civil Affairs.,NA,          NA,NA
Link: 中华人民共和国县以上行政区划代码 (in Simplified Chinese). Ministry of Civil Affairs.,NA,          NA,NA
Hubei,Qianjiang,429005,420000
Source: https://en.wikipedia.org/wiki/List_of_administrative_divisions_of_Hubei,NA,          NA,NA
Chongqing,Nan'an,500108,500000
Source: https://www.wikidata.org/wiki/Q713491,NA,          NA,NA
Tibet,Chamdo,540300,540000
Source: https://en.wikipedia.org/wiki/Tibet_Autonomous_Region,NA,          NA,NA
