Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Statistical_Division_Code
Lianyungang,Jiangsu,16.97,92.43739559593062,128.3,698.9400061991581,67.96000000000001,72.86,39.72,320700
Liaocheng,Shandong,35.05,43.45078514342501,120.5,149.3719811050171,97.438,98.983,45.15,371500
Liaoyang,Liaoning,41.66,41.65732226956717,368.77,368.7710939051023,37.15,37.901,53.21,211000
Liaoyuan,Jilin,26.83,26.827807828187066,452.39,452.4065971053517,13.441,14.35,13.91,220400
Lijiang,Yunnan,51.56,53.34669594504111,598.8,619.5970435572204,31.97,NA,31.05,530700
Lincang,Yunnan,45.61,51.21576826115732,1093.22,1227.6074777268152,45.62,NA,16.96,530900
Linfen,Shanxi,NA,NA,NA,NA,NA,NA,40,141000
Lingao,Hainan,NA,NA,NA,NA,NA,NA,10.7,469024
Lingshui,Hainan,NA,NA,NA,NA,NA,NA,23.92,NA
Linxia,Gansu,NA,NA,NA,NA,NA,NA,6.52,622900
Linyi,Shandong,25.32,48.05979714696028,104.57,198.466045746952,146.325,149.208,48.03,371300
Lishui,Zhejiang,55.24,101.37778909253524,100.17,183.83736056005117,101.14,101.148,28.14,331100
Liuzhou,Guangxi,24.56,118.8632874346159,504.93,2444.1577931884262,76.345,78.27000000000001,41.75,450200
Longnan,Gansu,NA,NA,NA,NA,NA,NA,8.73,621200
Longyan,Fujian,29.5948,82.7539442188012,390.51,1091.950293504124,98.09106316,109.75744,45.6879,350800
Loudi,Hunan,30.23,66.204873875149,636.05,1392.8939498647917,58.32899999999999,58.547,25.56,431300
Lu'an,Anhui,47.62,95.62422133738404,286.47,575.2260055603169,95.463,100.6,30.52,341500
Luohe,Henan,21.35,48.52695996879568,293.48,666.9752877773313,38.71,40.385000000000005,53.42,411100
Luoyang,Henan,13.66,39.24423395416373,139.72,401.4399360790736,77.517,89.89500000000001,63.43,410300
Lupanshui,Guizhou,50.0166,119.77705347690846,373.3,894.279028064702,75.204,76.126,29.4293,NA
Luzhou,Sichuan,33.35,79.37260036730449,123.84,294.71120717555124,86.77000000000001,88.92,41.97,510500
Lvliang,Shanxi,NA,NA,NA,NA,NA,NA,61.96,NA
Ma'anshan,Anhui,26.55,88.4579922118796,326.65,1088.8625978831055,66.92999999999999,69.12,64.9231,340500
Maoming,Guangdong,17.2539,18.77673264286245,304.27,331.0817233549369,67.37,67.51,27.488,440900
Meishan,Sichuan,38.89,104.9578739167538,149.13,402.4845307610551,63.603,67.772,50.24,511400
Meizhou,Guangdong,54.0464,58.94618870168637,648.62,707.4240295743808,71.24456,71.33943000000001,88.4534,441400
Mentougou,Beijing,74.35,74.34766629915472,142.15,142.15445154943433,20.23,22.489,32.29,110109
Mianyang,Sichuan,23.44,66.54783081883627,101.72,288.7797340425097,85.019,86.997,31.87,510700
Minhang,Shanghai,NA,17.4795862410151,74.81,82.75356477128298,45.510000000000005,62.970000000000006,65.3,310112
Miyun,Beijing,57.49,57.4850136239782,304.41,304.3860914730919,21.097,22.208,28.83,110118
Mudanjiang,Heilongjiang,48.9,68.03176674671059,550,765.2127154001215,45.264,45.968,23.23,231000
Nagqu,Tibet,NA,NA,1575.97,1575.0385208012326,10.222,10.314,2.09,540600
Nan'an,Chongqing,27.45,90.31053498069689,187.8,617.8355487925662,25.314,25.32,62.41,NA
Nanchang,Jiangxi,20.5697,108.03957720178803,323.75,1101.4680866552153,148.174,160.792,59.4125,360100
Nanchong,Sichuan,36.74,54.22430459010968,361.26,533.1990434328451,98.66,101.56,22.26,511300
Nanchuan,Chongqing,27.35,154.4083978657159,112.07,632.7996404606632,11.525,11.525,35.97,500119
Nanjing,Jiangsu,17.67,140.21454047100724,95.16,754.9362857378976,298.82,329.97,85.21,320100
Nankai,Tianjin,11.21,11.214618416338231,242.1,242.13031835763164,8.138,8.358,64.21,120104
Nanning,Guangxi,25.45,139.389255490062,101.16,553.9625509264766,132.822,143.397,46.81,NA
Nanping,Fujian,33.22,69.14617277953649,385.94,803.2952737848041,73.46900000000001,76.725,30.065,350700
Nantong,Jiangsu,17.39,98.4924239724366,112.9,639.4949264177125,197.877,216.82800000000003,53.43,320600
Nanyang,Henan,23.63,29.52041958799886,247.05,308.597010788191,107.656,112.97,33.08,411300
Neijiang,Sichuan,37.7,60.42618374081897,820.67,1315.3332258191017,62.470000000000006,64.78999999999999,29.88,511000
Neimenggu,Inner Mongolia,40.3292,47.04697471317369,NA,332.1174239289276,933.9692828,NA,47.9924,NA
Ngari,Tibet,NA,NA,NA,NA,2.935,3.058,NA,542500
Ningbo,Zhejiang,18.37,84.25529149820622,71.4,327.4063929497373,288.549,304.135,76.8,330200
Ningde,Fujian,22.8691,33.02449282312033,299.6,432.644833519773,81.291,86.499,43.8603,350900
Ninghe,Tianjin,102.66,128.89241240954544,2336.41,2933.413523803448,33.878,34.578,NA,120117
Nujiang,Yunnan,48.72,48.721642059776734,77.93,77.9328,12.177,12.57,11.19,NA
Nyingchi,Tibet,12.24,12.24254644966153,201.96,201.9002375296912,2.55,2.64,9.33,540400
Ordos,Inner Mongolia,29.88,32.896307011269094,185.77,204.51121970891757,167.736,173.75,84.64,150600
Panjin,Liaoning,56.3,59.37938092432762,525.56,554.2791110851576,78.501,81.027,56.55,211100
Panzhihua,Sichuan,19.55,39.11988532005211,199.92,399.98829212390046,23.866,25.541,58.58,510400
Pengshui,Chongqing,40.02,61.43341771208309,116.15,178.27823636196257,11.292,11.292,23.88,NA
Pingdingshan,Henan,21.51,40.37296736308918,189.82,356.26609094679264,61.078,64.251,56.75,410400
Pinggu,Beijing,34.85,47.86671666243269,368.11,505.5140973964849,14.241,14.32,21.63,110117
Pingliang,Gansu,38.13,64.14389380010286,451.64,759.7090526909728,24.465,26.234,16.33,620800
