Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Anyang,Henan,2020,16.7074,22.83195159,118.38,161.7976008,38.43494,44.701,40.5474,230.0475933,3.254764,42185.41114,20.192,0.918,35344,NA,17.48,43.11,12.56,71.85354691,14.93,20,NA,NA,NA,NA,0.87,-1.403,7.422,5.893,410500,410000,5345.994,20192
Anyang,Henan,2021,20.3225,28.56954178,152.54,214.5418514,49.4949,56.027,53.5934,243.5468297,4.973303,44690.36171,23.44,0.99,37464.3,NA,20.06,37.43,13.835,68.96809571,12.3,18.17,NA,NA,NA,NA,NA,NA,NA,NA,410500,410000,NA,23440
Baicheng,Jilin,2016,12.846,21.20689668,213.94,351.8431203,8.994,NA,19.8215,70.01392,2.8,35892,2.41223,0.132,21090,23.26,4.22,21.29,2.149,50.92417062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220800,220000,3917.58,2412.23
Baicheng,Jilin,2017,16.2629,24.88707219,242.25,370.7751576,10.055,10.7170213,16.1856,61.82796,4.7,32168,2.98276,0.0963,22461,25.02,4.15,25.64,2.175,52.40963855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220800,220000,3474.928,2982.76
Baicheng,Jilin,2018,18.5075,18.50752667,273.19,222.53281,11.225,11.3243734,15.1717,60.651,2.1,31849,3.08505,0.1055597,23539,NA,4.11,27.09,2.083,50.68126521,0.9342,0.43019,NA,NA,NA,NA,NA,NA,NA,NA,220800,220000,3081.633,3085.05
Baicheng,Jilin,2019,25.0084,25.00841209,279.47,279.449875,12.293,NA,17.5967,49.15546,0,25980,2.03876,0.113,25631,NA,4.399,24.999,1.656,37.6449193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220800,220000,3767.692,2038.76
Baicheng,Jilin,2020,24.9364,24.93638009,311.88,311.8901692,12.722,13.9,14.5507,51.01783,1.4,27230,1.4039,0.224,26668,NA,4.079,28.033,1.333,32.67957833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220800,220000,3646.887,1403.9
Baicheng,Jilin,2021,24.9585,24.95854818,348.13,348.1067344,13.698,14.325,17.5874,54.883,7.8,35996,1.14319,0.302,28428,NA,3.935,22.374,1.464,37.20457433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220800,220000,NA,NA
Baise,Guangxi,2016,22.8904,30.871417,62.78,84.64226579,25.507,26.118,23.3572,111.4309384,8.8,30881,8.1725,2.00104,26919,50.874,7.948,34.028,4.729,59.49924509,2.84,2.868,NA,NA,1.486695,NA,4.24883,NA,NA,NA,451000,450000,3951.53,8172.5
Baise,Guangxi,2017,20.931,30.35138725,63.82,92.11550313,28.503,28.964,21.7271,136.176,8.8,37479,10.792,NA,29126,69.007,8.25,37.971,5.043,61.12727273,4.066,3.675,NA,NA,NA,NA,3.21389,NA,NA,NA,451000,450000,3596.703,10792.19
