Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Fushun,Liaoning,2018,36.7508,42.47603600233024,351.34,406.0687190125959,38.54502,40.64218,42.6479,104.8821,4.6,50951,5.40043,0.67625,32470.237,NA,8.93973,20.9617,6.5456,73.21921355566667,1.85025,1.5369199999999998,NA,NA,NA,NA,5.23621,0.3812399999999997,0.60485,-0.0019000000000000128,210400,210000,4735.602,5400.43
Fushun,Liaoning,2019,44.953,44.95302524771194,407.74,407.7374859193839,38.07893,41.07246,36.1345,84.70827,-3.6,41382,6.53938,0.5507799999999999,34581,NA,7.521040000000001,20.81401,5.81819,77.35884930807441,1.6380400000000002,1.5813,NA,NA,NA,NA,3.54282,0.2422399999999996,0.93749,0.20399000000000003,210400,210000,5105.991,6539.38
Fushun,Liaoning,2020,47.5928,47.59280019328341,420.08,420.0767705201203,39.39732,41.875,37.3935,82.78,-3,44137,6.065659999999999,0.5298499999999999,35057.519408,NA,7.668699999999999,20.50813,5.3373100000000004,69.59862818991486,1.51602,2.9019500000000003,NA,NA,NA,NA,5.75676,0.2762900000000002,1.59624,1.18997,210400,210000,5211.546,6065.66
Fushun,Liaoning,2021,46.224,46.224031738249096,429.8,429.79198615022096,40.218,42.735,46.8833,87.00669,1,47337.698585,4.7074,0.7594000000000001,37511.545766,NA,7.695010000000001,16.4131,5.62242,73.06579198727486,0.97663,1.63517,NA,NA,NA,NA,6.126,0.14699999999999988,1.819,0.679,210400,210000,NA,NA
Fuxin,Liaoning,2016,35.3001,58.60213590428474,78.8333,130.8722480083587,14.396,14.796,25.9752,40.78179,-12.3,22956,2.5656600000000003,0.23033360000000003,23980.41011,6.63,3.58394,13.79752,2.598,72.49005284686686,0.94625,1.36751,NA,NA,NA,NA,2.9975,0.5727700000000002,0.525,0,210900,210000,3535.183,2565.66
Fuxin,Liaoning,2017,34.8643,52.57760938645808,77.6172,117.05155993467598,14.263,14.796,26.1964,40.91,0.4,23105,2.35009,0.2836503,25706.999640000002,7.090000000000001,3.81775,14.57354,2.6288299999999998,68.8580970466898,0.89463,0.92831,NA,NA,NA,NA,2.3609,-0.006519999999999726,0.8586,0,210900,210000,3518.631,2350.09
Fuxin,Liaoning,2018,32.5971,45.2487115199289,69.4335,96.38208388376742,14.538,15.425999999999998,26.4201,44.59906,6.3,25340,2.98893,0.35162,27609.318,NA,4.20137,15.90218,2.70686,64.42803180867193,0.92638,1.0037,NA,NA,NA,NA,3.32144,0.5899999999999999,1.0758,0,210900,210000,3508.971,2988.93
Fuxin,Liaoning,2019,30.8667,42.41622464425233,75.6467,103.9518300693514,15.06468,16.116999999999997,23.9438,48.80566,6.4,27945,2.7831,0.29671,29514,NA,4.26614,17.81731,2.54419,59.63681454429531,0.68148,0.80769,NA,NA,NA,NA,1.515,0.45500000000000007,0.40692000000000006,0.23600000000000004,210900,210000,3522.34,2783.1
Fuxin,Liaoning,2020,32.3498,43.35020843232263,270.28,362.1854327023854,16.32373,17.304,23.5106,50.46,2.3,30541,3.32805,0.24568,30437.691753,NA,4.4411700000000005,18.89007,2.59634,58.4607209361497,1.59206,3.15462,NA,NA,NA,NA,1.95076,0.4399699999999999,1.24567,0.8759699999999999,210900,210000,3587.864,3328.05
Fuxin,Liaoning,2021,32.2145,42.23412257036762,300.61,394.10463809187706,17.546889999999998,18.534,33.2009,54.46894,6.4,33375.57598,2.51286,0.38111,32842.269401,NA,4.73348,14.2571,2.81834,59.54054944776359,0.95505,1.23103,NA,NA,NA,NA,2.614,0.62578,1.673,0.6001900000000001,210900,210000,NA,NA
Guigang,Guangxi,2016,10.44,10.444780843663644,39.52,39.84586882615837,10.014,NA,22.4042,95.8756354,7.9,22230,10.244,0.28527,26771,31.938,4.76194,21.25466,3.10811,65.26982700328018,1.6766100000000002,2.16849,NA,NA,NA,NA,1.92203,1.24403,1.5476800000000002,0.4993,450800,450000,4019.445,10244
