Region,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Province
Yulin,20.46,31.144360332370614,91.93,139.9252850071513,44.35,44.738,21.02,Guangxi
Guigang,20.4,31.98313710859997,458.11,718.1929702675333,32.073,32.754000000000005,22.82,Guangxi
Beihai,18.18,18.698977997079226,449.84,462.76446345144126,30.43,32.932,35.55,Guangxi
Guizhou,61.8417,135.23067130169483,305.14,667.2540732318643,1247.011,1296.235,32.25,Guizhou
Qiannan,62.15,97.28756111473784,1003.44,550.3085082727788,110.1382132,111.5432197,24.3519,Guizhou
Tongren,60.4824,87.15075519291358,1417.23,700.7523315464284,89.34400000000001,90.1251573,14.1235,Guizhou
Anshun,58.3,116.67713879246008,485.33,971.254417655376,63.0198,64.29839,21.1071,Guizhou
Qiandongnan,57.24,94.08371018141854,466.96,767.5546147841641,74.01261802,76.410832,15.93,Guizhou
Guiyang,52.9188,218.52169979479677,212.7,878.3167091409726,260.42221,264.87330000000003,55.361,Guizhou
Bijie,52.2089,78.14019419377118,962.88,640.9587408640892,115.2,117.2,18.8876,Guizhou
Lupanshui,50.0166,119.77705347690846,373.3,894.279028064702,75.204,76.126,29.4293,Guizhou
Qianxinan,48.06,82.32855683437381,329,563.5482395186007,72.51356,73.28711,28.6539,Guizhou
Zunyi,41.7906,96.02181686838767,278.23,639.2853689556379,183.93146924,186.8816449,38.5303,Guizhou
Hainan,51.137,61.12217857822717,121.3182,145.00734229711802,348.663,370.34,39.7236,Hainan
Sanya,60.6468,63.62107917265762,303.43,318.3442169725728,51.374521300000005,51.3745313,42.7948,Hainan
Wenchang,35.64,35.64393393211809,352.91,352.93609671848014,12.261,NA,23.04,Hainan
Haikou,35.2593,64.3872232236775,188.86,344.8972788026246,75.2704715,75.27049,61.631100000000004,Hainan
Baisha,33.8,33.80200487269616,1087.04,1085.0746268656717,2.181,2.181,5.78,Hainan
Danzhou,29.92,33.76965596759622,120.37,135.8448267771313,26.3,NA,36.8768,Hainan
Changjiang,23.19,23.191951122168764,187.72,187.6807712908409,3.504,3.504,38.3,Hainan
Baoting,22.97,22.97220030832253,39.83,39.83433734939759,1.587,1.595,12.26,Hainan
Wuzhishan,17.25,17.23773647134001,307.54,306.88073394495416,0.669,0.701,8.08,Hainan
Lingao,NA,NA,NA,NA,NA,NA,10.7,Hainan
Chengmai,NA,NA,NA,NA,NA,NA,50.65,Hainan
Tunchang,NA,NA,NA,NA,NA,NA,21.03,Hainan
Ding'an,NA,30.741157339054546,NA,389.9603535144958,3.777,3.777,19.0601,Hainan
Dongfang,NA,48.28672084377972,NA,156.87660975246675,11.17065,11.17066,19.4,Hainan
Wanning,NA,NA,NA,NA,NA,NA,21.19,Hainan
Qionghai,NA,NA,NA,NA,NA,NA,18.36,Hainan
Sansha,NA,NA,NA,NA,NA,NA,NA,Hainan
Qiongzhong,NA,NA,NA,NA,NA,NA,7.81,Hainan
Lingshui,NA,NA,NA,NA,NA,NA,23.92,Hainan
Ledong,NA,NA,NA,NA,NA,NA,13.26,Hainan
Hebei,37.17,56.66498803968408,257.16,392.0407960408295,1574.909,1715.91,43.7423,Hebei
Zhangjiakou,58.95,74.61363034907052,363.73,460.3097014619288,104.661,112.678,28.11,Hebei
Chengde,38.6,46.33914006197057,430.42,516.7759013864562,68.71000000000001,79.401,28.56,Hebei
Xingtai,37.31,45.9930071228945,275.77,339.9291637878699,95.03,103.364,34.06,Hebei
Baoding,35.46,45.60415767428034,243.69,313.38270675529066,137.603,145.13299999999998,37.87,Hebei
Qinhuangdao,34.5,40.06433716964473,256.69,298.0739231363672,65.882,77.755,54.38,Hebei
Hengshui,29.48,31.56467634356568,369.63,395.7674077756964,53.07899999999999,56.798,34.02,Hebei
Shijiazhuang,28.61,82.59602067151086,192.39,555.5115362350273,203.12,224.7,56.77,Hebei
