Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",year,Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price,GDP: Industry,GDP,Longitude,Latitude,Post Code
NA,Hubei,23.1995,53.92750696,83.9009,195.0283153,1007.86764,1050.029,29.7609,4344.346,-5,74440.47,488.88684,62.08343,36706,NA,251.15359,843.90379,192.34485,76.58455131,322.92805,385.89399,NA,NA,41.45630814,1.509830328,117.9415,111.49027,175.5,151.2,2020,      420000,420000,NA,NA,NA,NA,114.88,30.4,436001
NA,Hubei,23.8583,52.5135095,87.2635,192.0723549,1193.22238,1253.829,41.3655,5001.29369,12.85321,86416,612.19312,83.14352,40277.76888,NA,328.32985,793.72837,255.9654,77.95983216,391.29,462.60599,NA,NA,27.69214691,-13.07858289,88.7,40,212.3,145,2021,      420000,420000,NA,NA,NA,NA,114.88,30.4,436001
NA,Hunan,22.616,71.50053162,93.11,290.6225356,766.749,788.73,40.1462,3390.296,8,49558,342.61289,36.03951157,33947.93511,NA,275.78,686.93867,175.91,63.78635144,128.393,117.417,NA,NA,58.486109,35.5666636,119.24,104.88,77.3,2.789,2017,      430000,430000,NA,NA,NA,NA,NA,NA,NA
NA,Hunan,29.5365,88.19594637,115.0293,343.4770193,1360.543,1383.891,38.8617,4606.30863,7.7,69440,542.78261,92.71,44866,NA,325.07,836.48,224.6,69.09281078,379.19,442.94,NA,NA,38.61346349,-3.464809202,117.26,29.57,183,130.4,2021,      430000,430000,NA,NA,NA,NA,NA,NA,NA
NA,Hunan,21.6403,62.08698118,88.07,255.4774657,682.78,724.13,42.5592,3155.137,8,46382,295.70441,26.8796988,31283.89343,NA,269.79,633.91637,155.13,57.50027799,104.29,100.98,NA,NA,53.30617228,46.80521969,186.9,174.76,155.6,NA,2016,      430000,430000,NA,NA,NA,NA,NA,NA,NA
NA,Hunan,31.6519,89.29149673,238.86,677.1767867,1540.508,1559.191,34.4444,4867.03651,4.498787,73598,518.03,105.434,47301,NA,310.18,900.525,200.45,64.62376685,315.95,425.33,NA,NA,19.468885,-35.70613852,NA,NA,177.74,148.44,2022,      430000,430000,NA,NA,NA,NA,NA,NA,NA
NA,Hunan,28.2758,86.46735211,110.7387,338.6388594,1181.405,1216.091,35.8045,4178.149,3.8,62900.25,488.04403,70.678401,41698,NA,300.87,840.313,205.8,68.40163526,335.34,419.18,NA,NA,43.812366,16.60460649,101.99,30.64,153.37,133.37,2020,      430000,430000,NA,NA,NA,NA,NA,NA,NA
NA,Hunan,23.97,74.57872131,88.6522,275.8270042,870.822,872.73,38.248,3632.968,7.8,52948.6,394.59495,46.52983333,36698.25386,NA,286.08,747.96,195.97,68.50181767,222.98,213.87,NA,NA,22.47894608,5.853534881,110.2,41.7,89.677,40.642,2018,      430000,430000,NA,NA,NA,NA,NA,NA,NA
NA,Hunan,25.5949,78.76657513,91.3027,280.9783417,1017.45,1022.891,37.4277,3975.212,7.6,57540.26,444.54659,62.88194002,39842,NA,300.71,803.44155,206.19,68.56772306,296.19,293.36,NA,NA,29.44029045,1.296625546,122.22,44.6,135.1,61.29,2019,      430000,430000,NA,NA,NA,NA,NA,NA,NA
NA,Inner Mongolia,38.2411,48.89482423,134.51,171.9853064,615.53682,635.75,37.5991,1609.621,4,63764,88.97233,13.87352,35670.02049,NA,170.32095,452.99252,128.69065,75.5577338,34.27693,39.41117,NA,NA,0.8802984,NA,95.07,85.77,35.937,35.937,2017,      150000,150000,NA,NA,NA,NA,NA,NA,NA
