Carbon Emissions,Statistical_Division_Code,Province.Code,Region,year,Province.x,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance (Special Bond)(CNY,B)","Net Financing (Special Bond)(CNY,B)",Annual_Real_Estate_Investment,Annual_Avg_Property_Price,Province.y,Longitude,Latitude,Post Code
NA,130600,130000,Baoding,2019,Hebei,14.381,15.43625982,97.42,100.178479,54.248,65.748,41.4187,377.2202693,6.7,31856.3223,64.72844,4.96,32705,NA,29.69552,71.69591,19.27072,64.8943679,28.26375,36.27706,NA,NA,NA,NA,NA,NA,NA,NA,6886.228,64728.44,Hebei,115.47,38.87,71000
42.18457548,130700,130000,Zhangjiakou,2016,Hebei,20.49,32.607391990000004,124.4,197.9905542,30.035,34.755,34.1281,146.59911,7,33142,32.59972,0.561982016,26069.27,37.39,14.1697,41.51921,7.58799,53.55081618,9.97358,10.75233,NA,NA,0.4702778,NA,NA,NA,NA,NA,4553.781,32599.72,Hebei,114.88,40.82,75000
46.17811112,130700,130000,Zhangjiakou,2017,Hebei,24.66,35.85899396,119.46,173.6843947,35.196,41.323,28.733,142.70162,6.7,32219,39.08464,0.513986653,28512.45158,37.25,13.57853,47.25763,13.57853,100,15.88314,17.64765,NA,NA,1.8159137,NA,NA,NA,NA,NA,6295.009,39084.64,Hebei,114.88,40.82,75000
39.45735756,130700,130000,Zhangjiakou,2018,Hebei,32.2321,40.87130408,113.09,143.4050041,46.069,52.56,28.0016,142.929,7.6,34661,33.59157,0.6814279,31193,NA,15.68804,56.02556,9.34271,59.55307355,25.01795,26.06468,NA,NA,0.5507286,-0.4292714,NA,NA,NA,NA,6830,33591.57,Hebei,114.88,40.82,75000
NA,130700,130000,Zhangjiakou,2019,Hebei,35.8174,48.48376668,147.26,153.1817927,55.555,63.644,27.5962,155.106,6.9,35025,29.16291,0.464,34062,NA,16.86238,61.10403,9.4913,56.28683495,32.2023,32.2023,NA,NA,1.2317916,NA,NA,NA,NA,NA,6545.219,29162.91,Hebei,114.88,40.82,75000
48.14360993,130800,130000,Chengde,2016,Hebei,NA,NA,NA,NA,NA,NA,27.0394,143.85741,6.9,40741,13.65741,0.475631569,24856.48,47.17,8.21331,30.37531,6.11697,74.47630736,3.35503,4.74759,NA,NA,0.1351643,NA,9.942,2.145,NA,NA,4740.55,13657.41,Hebei,117.93,40.97,67000
48.14360993,130800,130000,Chengde,2016,Hebei,NA,NA,NA,NA,NA,NA,27.0394,143.85741,6.9,40741,13.65741,0.475631569,24856.48,47.17,8.21331,30.37531,6.11697,74.47630736,3.35503,4.74759,NA,NA,0.1351643,NA,9.942,2.145,NA,NA,4740.55,13657.41,Hebei,118.17,40.77,67400
NA,130800,130000,Chengde,2017,Hebei,8.04,12.86870518,75.91,121.5172417,11.78,NA,26.4251,146.54537,7,41299,15.29394,0.44388922,27041.99287,56.39,8.92213,33.76382,6.63629,74.38010879,6.46822,9.64645,NA,NA,0.102888,NA,0.182,-2.592,NA,NA,5686.809,15293.94,Hebei,117.93,40.97,67000
NA,130800,130000,Chengde,2017,Hebei,8.04,12.86870518,75.91,121.5172417,11.78,NA,26.4251,146.54537,7,41299,15.29394,0.44388922,27041.99287,56.39,8.92213,33.76382,6.63629,74.38010879,6.46822,9.64645,NA,NA,0.102888,NA,0.182,-2.592,NA,NA,5686.809,15293.94,Hebei,118.17,40.77,67400
NA,130800,130000,Chengde,2018,Hebei,36.4097,41.8717103,206.06,236.9720879,50.103,56.57,27.7207,137.609,6.4,41476,17.552,0.3210497,29557,NA,10.45531,37.71658,8.20885,78.51369304,13.61303,13.10219,NA,NA,0.1181542,NA,4.87488,1.60876,4.13538,2.89987,6229,17552,Hebei,117.93,40.97,67000
NA,130800,130000,Chengde,2018,Hebei,36.4097,41.8717103,206.06,236.9720879,50.103,56.57,27.7207,137.609,6.4,41476,17.552,0.3210497,29557,NA,10.45531,37.71658,8.20885,78.51369304,13.61303,13.10219,NA,NA,0.1181542,NA,4.87488,1.60876,4.13538,2.89987,6229,17552,Hebei,118.17,40.77,67400
NA,130800,130000,Chengde,2019,Hebei,36.9177,42.59500263,248.98,287.2729597,54.306,63.028,27.0717,147.1,6.5,41080.233,18.16067,0.33,32365,NA,11.24678,41.54446,8.14465,72.41761642,10.16741,10.47706,NA,NA,NA,NA,NA,NA,NA,NA,5918.685,18160.67,Hebei,117.93,40.97,67000
NA,130800,130000,Chengde,2019,Hebei,36.9177,42.59500263,248.98,287.2729597,54.306,63.028,27.0717,147.1,6.5,41080.233,18.16067,0.33,32365,NA,11.24678,41.54446,8.14465,72.41761642,10.16741,10.47706,NA,NA,NA,NA,NA,NA,NA,NA,5918.685,18160.67,Hebei,118.17,40.77,67400
63.04928926,130900,130000,Cangzhou,2016,Hebei,7.815,17.50872339,84.91,190.2420667,27.70153,31.07,43.6518,354.468,7.9,47425,28.33656,2.844218985,28604.65,130.82,22.03968,50.48978,14.6915,66.65931629,10.5794,11.48039,NA,NA,4.6017966,NA,NA,NA,5.5971,2.28431,4931.816,28336.56,Hebei,116.83,38.3,61000
NA,130900,130000,Cangzhou,2017,Hebei,8.7401,20.20465934,66.78,154.3842069,31.84369,36.14,43.514,364.34034,6.7,48384,25.34421,3.647612514,31044,141.28,23.95362,55.04803,15.6701,65.41850459,23.72174,18.14635,NA,NA,2.9784922,NA,2.62,0.41,8.27133,4.50036,5632.362,25344.21,Hebei,116.83,38.3,61000
NA,130900,130000,Cangzhou,2018,Hebei,11.5142,24.27693139,81.53,171.7019476,37.61597,43.42212,42.3292,326.693,6.4,48562,25.24441,4.800321,33528,NA,26.33942,62.22522,18.34687,69.6555581,19.8427,20.49797,NA,NA,2.2610934,2.0110934,3.78,2.2,5.17316,3.75452,5354,25244.41,Hebei,116.83,38.3,61000
NA,130900,130000,Cangzhou,2019,Hebei,12.5354,29.00827469,76.94,178.058282,44.977,52.471,41.3293,358.8,6.9,47662,31.89306,5.379,36244,NA,28.3644,68.63022,19.00414,66.9999718,30.06307,25.14775,NA,NA,5.0014018,4.9760685,NA,NA,NA,NA,7328.472,31893.06,Hebei,116.83,38.3,61000
29.81779085,131000,130000,Langfang,2016,Hebei,8.56,10.01496072,43.13,50.48096779,23.28,NA,66.5596,272.0458,8,58972,70.36431,4.977970435,34633.38,77.65,33.87244,50.89037,27.76188,81.96008318,20.06895,19.82962,NA,NA,NA,NA,2.41645,0.0505,3.55445,2.40296,10654.557,70364.31,Hebei,116.7,39.52,65000
NA,131000,130000,Langfang,2017,Hebei,7.7747,9.32395473,35.74,42.85745475,22.399,32.159,56.8854,288.10071,6.9,61586,75.79946,5.344738506,37474,82.15,33.14731,58.27035,25.42896,76.71500342,29.50108,24.73575,NA,NA,NA,NA,2.76732,0.12562,1.936,1.801,12312.607,75799.46,Hebei,116.7,39.52,65000
NA,131000,130000,Langfang,2018,Hebei,9.1965,10.51937457,50.77,58.07223715,27.894,38.458,58.3593,303.311,6.5,64906,61.19246,7.043347,40435,NA,36.20321,62.03506,27.42043,75.740328,18.69265,21.59152,NA,NA,NA,NA,2.63627,1.50664,5.19848,4.687,10510,61192.46,Hebei,116.7,39.52,65000
NA,131000,130000,Langfang,2019,Hebei,9.4165,10.84633599,37.53,43.23137748,30.095,41.654,60.6999,319.6,6.7,65511.58511,51.14322,NA,43912,NA,38.83388,63.97682,28.28607,72.83863987,41.30115,37.57774,NA,NA,NA,NA,NA,NA,NA,NA,11031.86,51143.22,Hebei,116.7,39.52,65000
12.99121242,131100,130000,Hengshui,2016,Hebei,3.7,3.698116263,34.64,34.63130388,5.252,NA,31.6154,142.01825,7.8,31955,19.0082,2.656550896,23787.07,47.39,9.57247,30.27787,6.0226,62.91584095,5.567,6.61184,NA,NA,NA,NA,NA,NA,NA,NA,3699.342,19008.2,Hebei,115.68,37.73,53000
13.94558108,131100,130000,Hengshui,2017,Hebei,4.3061,4.459077781,29.67,30.72003919,6.559,NA,34.6891,152.31872,7.2,34177,19.91383,2.928108353,26195,NA,10.34737,29.82886,6.65732,64.33828113,11.74901,13.41502,NA,NA,NA,NA,NA,NA,3.77872,3.66,4570.523,19913.83,Hebei,115.68,37.73,53000
13.10554507,131100,130000,Hengshui,2018,Hebei,13.5417,15.44416374,77.09,87.92550255,18.712,23.303,32.013,138.181,6.9,34898,23.74619,3.250256,28736,NA,11.49935,35.92082,7.60419,66.12712892,12.74476,13.80379,NA,NA,NA,NA,2.65331,1.86421,3.24918,2.51786,5154,23746.19,Hebei,115.68,37.73,53000
NA,131100,130000,Hengshui,2019,Hebei,16.9128,18.58791282,115.67,127.1298365,25.452,30.479,30.9552,150.49,6.8,33599,23.70261,3.391,31581,NA,12.20489,39.42764,8.04908,65.94963166,9.77366,12.39297,NA,NA,NA,NA,NA,NA,NA,NA,5639.746,23702.61,Hebei,115.68,37.73,53000
80.38663415,140100,140000,Taiyuan,2016,Shanxi,10.6814,42.94976779,66.75,268.3944583,31.57,33.49,66.6612,295.56045,7.5,68234,68.01301,13.314,29632.14283,57.181,28.269,42.407,22.038,77.95818741,19.004,18.531,NA,NA,4.5968929,NA,NA,NA,NA,NA,7311.605,68190.17,Shanxi,112.55,37.87,30000
80.07441596,140100,140000,Taiyuan,2017,Shanxi,11.6789,47.20520035,65.08,263.0428616,39.5,40.86,65.0963,338.21819,7.5,77536,47.06283,13.52718,31469.33569,63.123,31.18503,47.906,24.79259,79.50157495,29.504,32.382,NA,NA,10.4966389,10.0051989,2.99755,NA,10.82823,NA,8761.649,47814.46,Shanxi,112.55,37.87,30000
76.38217842,140100,140000,Taiyuan,2018,Shanxi,11.9656,44.38144759,44.052,163.3929377,46.48,48.45,68.8028,388.44778,9.2,88272,52.94128,16.4702,33672,NA,37.32275,54.246,29.69292,79.55716018,37.426,42.455,NA,NA,5.011216359,NA,8.45524,NA,3.06944,NA,10822.302,53176.02,Shanxi,112.55,37.87,30000
79.44684589,140100,140000,Taiyuan,2019,Shanxi,14.0325,52.64249455,44.9265,168.5407242,56.53,59.06,63.3226,402.851,6.6,90698,69.65446,16.22386,38361.8,NA,38.66164,61.055,30.17703,78.05419015,55.839,58.236,NA,NA,1.206,-0.93925,NA,NA,NA,NA,11100.378,69824.51,Shanxi,112.55,37.87,30000
