Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Statistical_Division_Code,Province.Code
Haixi,Qinghai,26.7141,26.714141593970687,NA,155.00309896012672,22.508000000000003,24.933,74.22,632800,630000
Hami,Xinjiang,32.44,49.52216166471421,258.42,394.5563699002476,28.188,31.862,55.41,650500,650000
Handan,Hebei,27.36,43.077042753855,334.8,527.099523989527,118.92,139.204,42.06,130400,130000
Hangzhou,Zhejiang,19.64,111.6409948921463,52.19,296.7221971822238,368.244,368.284,99.29,330100,330000
Hanzhong,Shaanxi,22.6393,25.52178391839198,876.04,518.3718315441529,43.138,47.701,12.2303,610700,610000
Harbin,Heilongjiang,52.81,59.16390671790314,914.07,1024.0093451196722,289.948,295.242,24.61,230100,230000
Hebei,Tianjin,35.41,35.413942785419174,627.86,627.8627723690311,13.543,13.603,NA,120105,120000
Hebi,Henan,33.45,45.091070950516695,267.87,361.0938887808159,37.032,39.246,40.1,410600,410000
Hechi,Guangxi,35.22,43.84365765436709,76.4,95.10444710088063,39.992,40.574,14.07,451200,450000
Hechuan,Chongqing,17.83,108.94134332036028,180.17,1100.6145530399958,17.839,17.85,57.85,500117,500000
Hedong,Tianjin,22.66,22.657361308677096,312.67,312.6993865030675,10.194,10.299,53.92,120102,120000
Hefei,Anhui,15.83,52.056500712428935,90.32,297.0407774229231,190.174,219.406,65.6318,340100,340000
Hegang,Heilongjiang,39.65,39.64809384164224,NA,NA,16.224,16.384,NA,230400,230000
Heihe,Heilongjiang,31.11,31.1102696152681,394.63,394.60134486071087,20.539,20.782,17.24,231100,230000
Hengshui,Hebei,29.48,31.56467634356568,369.63,395.7674077756964,53.07899999999999,56.798,34.02,131100,130000
Hengyang,Hunan,27.52,67.0150450876081,268.68,654.2473556237379,112.553,113.417,32.67,430400,430000
Heping,Tianjin,NA,NA,118.01,14089.022117667855,3.965,3.966,NA,120101,120000
Hexi,Tianjin,NA,NA,196.97,196.9986086265156,9.911,10.969,57.82,120103,120000
Heyuan,Guangdong,44.3,47.770518011293326,800.5,863.2367322987158,57.349,57.518,21.46,441600,440000
Heze,Shandong,31.19,43.57200126099911,110.46,154.29932699210127,131.175,134.025,43.43,371700,370000
Hezhou,Guangxi,31.1,32.03979546745392,619.88,638.5364403780238,30.238,30.548,22.25,451100,450000
Hinggan,Inner Mongolia,NA,NA,NA,NA,NA,NA,13.27,152200,150000
Hohhot,Inner Mongolia,30.87,55.42685515955064,358.39,643.4029900333345,102.781,107.237,54.86,150100,150000
Honghe,Yunnan,23.32,40.69887697413625,116.61,203.5569504002341,66.753,74.04299999999999,28.12,532500,530000
Hongkou,Shanghai,NA,NA,119.93,138.6405171819522,39.048,47.65,82.21,310109,310000
Hongqiao,Tianjin,NA,NA,846.47,846.1977186311789,13.353,13.413,41.45,120106,120000
Hotan,Xinjiang,NA,NA,824.88,852.9444535717639,45.69,46.941,8.8,653200,650000
Huai'an,Jiangsu,15.85,131.11128055711427,91.16,754.3185237652187,75.147,81.387,45.44,320800,320000
Huaibei,Anhui,19.73,87.00307067002609,265.77,1172.1571920259564,25.7,27.458,47.1707,340600,340000
Huaihua,Hunan,45.54,71.72785562366056,715.22,1126.456095961944,85.509,85.65599999999999,23.56,431200,430000
Huainan,Anhui,27.3,73.10522915329311,349.69,936.4347822137812,42.07,48.24,40.17,340400,340000
Huairou,Beijing,82.55,101.89903190029052,485.14,598.894362692146,36.942,37.019,34.03,110116,110000
Huanggang,Hubei,22.82,49.302703684024166,252,544.5293386387862,62.699,67.745,25.16,421100,420000
Huangnan,Qinghai,NA,42.3392551176842,NA,889.2045454545455,4.695,5.037,5.32,632300,630000
Huangpu,Shanghai,NA,NA,90.9,354.1448568771762,48.296,63.54,71.05,310101,310000
Huangshan,Anhui,36.64,46.310283948777816,246.15,295.4602011576066,36.727290000000004,38.4119,40.9296,341000,340000
Huangshi,Hubei,20.16,126.13776571412826,301.03,1883.2200532620304,41.165,44.534,48.88,420200,420000
Huizhou,Guangdong,19.4474,28.06688485031956,149.48,215.7335721203074,105.04027,111.71049,63.7374,441300,440000
Huludao,Liaoning,49.33,52.4294261611762,593.81,631.1540157068583,42.945,45.159,26.09,211400,210000
Hulun Beir,Inner Mongolia,39.07,39.07110584497598,536.3,536.3181411974978,60.014,62.102,20.85,150700,150000
Huyanghe,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659010,650000
Huzhou,Zhejiang,30.89,298.28985067870656,85.35,824.1174624602767,118.934,118.943,64.34,330500,330000
Ili Kazakh,Xinjiang,23.21,43.760697591215845,369.47,696.6755783194623,66.23400000000001,69.59700000000001,24.71,654000,650000
Ji'an,Jiangxi,32.93,78.15912927332359,312.27,734.8422316148772,90.557,97.419,31.264,360800,360000
Ji'nan,Shandong,22.12,56.01819538029017,127.56,323.1023387441687,266.008,283.5,81.69,370100,370000
Jiading,Shanghai,14.56,20.46799966667991,48.26,67.81836225121785,40.319,42.7,61.67,310114,310000
Jiamusi,Heilongjiang,49.13,49.131385181776345,583.77,583.7206123564789,42.705,43.066,17.34,230800,230000
Jiangbei,Chongqing,13.47,37.7210755204959,149.55,418.8570805128864,21.587,21.59,67.98,500105,500000
Jiangjin,Chongqing,18.55,113.91373977048468,208.16,1278.2211437571923,24.673,24.69,58.29,500116,500000
Jiangmen,Guangdong,23.8216,41.07001902396506,220.54,380.22036969802986,89.88851,92.8471,57.9832,440700,440000
